IDpol,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,claim_occurred,claim_amount,premium_paid
62,1.0,6.388888888888889,18,57,131.0,B12,Regular,A,393.0,Centre,False,0.0,273.95
62,1.0,6.388888888888889,18,57,131.0,B12,Regular,A,393.0,Centre,False,0.0,291.75
63,1.0,6.388888888888889,18,59,131.0,B12,Regular,A,393.0,Centre,False,0.0,376.64
64,1.0,6.388888888888889,18,59,131.0,B12,Regular,A,393.0,Centre,False,0.0,175.27
65,1.0,6.388888888888889,18,59,131.0,B12,Regular,A,393.0,Centre,False,0.0,236.0
66,1.0,6.916666666666666,13,57,68.0,B12,Diesel,A,393.0,Centre,True,491.385,208.46
66,1.0,6.916666666666666,13,57,68.0,B12,Diesel,A,393.0,Centre,False,0.0,497.12
67,1.0,5.777777777777778,24,59,77.0,B12,Diesel,B,393.0,Centre,True,88.14,252.71
68,1.0,5.777777777777778,24,59,77.0,B12,Diesel,B,393.0,Centre,False,0.0,275.12
69,1.0,6.388888888888889,18,53,50.0,B12,Regular,A,393.0,Centre,False,0.0,269.15
70,1.0,6.388888888888889,17,57,113.0,B12,Diesel,B,393.0,Centre,True,62.81666666666666,240.72
70,1.0,6.388888888888889,17,57,113.0,B12,Diesel,B,393.0,Centre,False,0.0,250.35
70,1.0,6.388888888888889,17,57,113.0,B12,Diesel,B,393.0,Centre,False,0.0,251.6
71,1.0,6.388888888888889,17,57,113.0,B12,Diesel,B,393.0,Centre,True,17.363333333333333,266.42
72,1.0,4.166666666666667,3,56,50.0,B12,Regular,A,393.0,Centre,False,0.0,70.45
72,1.0,4.166666666666667,3,56,50.0,B12,Regular,A,393.0,Centre,False,0.0,71.51
72,1.0,4.166666666666667,3,56,50.0,B12,Regular,A,393.0,Centre,False,0.0,70.05
73,1.0,7.25,10,53,50.0,B12,Diesel,A,393.0,Centre,False,0.0,362.76
73,1.0,7.25,10,53,50.0,B12,Diesel,A,393.0,Centre,False,0.0,484.31
73,1.0,7.25,10,53,50.0,B12,Diesel,A,393.0,Centre,False,0.0,479.47
74,1.0,6.277777777777778,22,58,86.0,B12,Diesel,A,393.0,Centre,False,0.0,409.24
75,1.0,6.277777777777778,22,58,86.0,B12,Diesel,A,393.0,Centre,False,0.0,441.7
76,1.0,5.416666666666667,11,73,68.0,B12,Regular,B,393.0,Centre,False,0.0,263.0
76,1.0,5.416666666666667,11,73,68.0,B12,Regular,B,393.0,Centre,False,0.0,270.89
76,1.0,5.416666666666667,11,73,68.0,B12,Regular,B,393.0,Centre,False,0.0,270.89
77,1.0,5.972222222222222,17,36,59.0,B12,Regular,B,393.0,Centre,True,1574.93,283.56
77,1.0,5.972222222222222,17,36,59.0,B12,Regular,B,393.0,Centre,False,0.0,292.09
78,1.0,6.388888888888889,14,60,95.0,B12,Diesel,A,393.0,Centre,True,257.36,322.52
78,1.0,6.388888888888889,14,60,95.0,B12,Diesel,A,393.0,Centre,False,0.0,325.75
78,1.0,6.388888888888889,14,60,95.0,B12,Diesel,A,393.0,Centre,False,0.0,320.86
79,1.0,7.5,9,46,50.0,B12,Diesel,A,393.0,Centre,False,0.0,351.36
79,1.0,7.5,9,46,50.0,B12,Diesel,A,393.0,Centre,False,0.0,353.13
80,1.0,5.5,19,43,86.0,B12,Diesel,A,393.0,Centre,True,902.5825,314.89
81,1.0,4.055555555555555,17,33,50.0,B12,Regular,A,393.0,Centre,False,0.0,184.84
82,1.0,5.972222222222222,11,69,68.0,B12,Regular,A,393.0,Centre,False,0.0,367.66
83,1.0,6.388888888888889,12,37,95.0,B12,Diesel,A,393.0,Centre,True,287.606,322.18
83,1.0,6.388888888888889,12,37,95.0,B12,Diesel,A,393.0,Centre,True,565.8,331.84
83,1.0,6.388888888888889,12,37,95.0,B12,Diesel,A,393.0,Centre,False,0.0,333.49
84,1.0,6.527777777777778,18,74,50.0,B12,Regular,A,393.0,Centre,False,0.0,240.53
85,1.0,7.222222222222222,4,66,50.0,B12,Diesel,A,393.0,Centre,False,0.0,468.92
86,1.0,6.916666666666666,10,62,50.0,B12,Diesel,B,393.0,Centre,False,0.0,358.7
87,1.0,6.388888888888889,16,48,77.0,B12,Diesel,A,393.0,Centre,False,0.0,271.74
87,1.0,6.388888888888889,16,48,77.0,B12,Diesel,A,393.0,Centre,False,0.0,279.89
87,1.0,6.388888888888889,16,48,77.0,B12,Diesel,A,393.0,Centre,False,0.0,277.09
88,1.0,6.388888888888889,19,61,59.0,B12,Diesel,B,393.0,Centre,False,0.0,257.37
88,1.0,6.388888888888889,19,61,59.0,B12,Diesel,B,393.0,Centre,False,0.0,259.94
89,1.0,5.888888888888889,12,59,50.0,B12,Regular,A,393.0,Centre,False,0.0,222.42
90,1.0,6.111111111111111,25,73,50.0,B12,Regular,A,393.0,Centre,False,0.0,234.12
91,1.0,6.111111111111111,25,73,50.0,B12,Regular,A,393.0,Centre,False,0.0,235.77
92,1.0,5.555555555555555,19,61,230.0,B12,Diesel,A,393.0,Centre,True,35.169333333333334,314.65
92,1.0,5.555555555555555,19,61,230.0,B12,Diesel,A,393.0,Centre,True,13.212,307.74
92,1.0,5.555555555555555,19,61,230.0,B12,Diesel,A,393.0,Centre,True,102.16,333.9
93,1.0,5.555555555555555,19,62,230.0,B12,Diesel,A,393.0,Centre,True,4.006923076923077,537.45
94,1.0,6.944444444444445,13,54,50.0,B12,Diesel,A,393.0,Centre,False,0.0,299.32
94,1.0,6.944444444444445,13,54,50.0,B12,Diesel,A,393.0,Centre,False,0.0,299.32
94,1.0,6.944444444444445,13,54,50.0,B12,Diesel,A,393.0,Centre,False,0.0,442.63
95,1.0,6.388888888888889,11,72,68.0,B12,Diesel,A,393.0,Centre,True,235.83,479.03
96,1.0,6.388888888888889,19,69,77.0,B12,Diesel,B,393.0,Centre,True,56.39,300.9
96,1.0,6.388888888888889,19,69,77.0,B12,Diesel,B,393.0,Centre,False,0.0,306.91
96,1.0,6.388888888888889,19,69,77.0,B12,Diesel,B,393.0,Centre,False,0.0,308.45
97,1.0,6.333333333333334,13,58,50.0,B12,Diesel,A,393.0,Centre,False,0.0,319.88
97,1.0,6.333333333333334,13,58,50.0,B12,Diesel,A,393.0,Centre,False,0.0,319.88
97,1.0,6.333333333333334,13,58,50.0,B12,Diesel,A,393.0,Centre,False,0.0,321.48
98,1.0,7.083333333333334,10,47,86.0,B12,Diesel,A,393.0,Centre,True,220.5,268.41
98,1.0,7.083333333333334,10,47,86.0,B12,Diesel,A,393.0,Centre,True,36.013333333333335,288.54
98,1.0,7.083333333333334,10,47,86.0,B12,Diesel,A,393.0,Centre,True,186.845,298.64
99,1.0,4.194444444444445,7,54,50.0,B12,Regular,A,393.0,Centre,False,0.0,101.7
100,1.0,5.611111111111111,12,47,59.0,B12,Regular,A,393.0,Centre,False,0.0,140.7
101,1.0,6.388888888888889,17,45,95.0,B12,Diesel,A,393.0,Centre,True,33.555,267.53
101,1.0,6.388888888888889,17,45,95.0,B12,Diesel,A,393.0,Centre,True,882.0,287.59
101,1.0,6.388888888888889,17,45,95.0,B12,Diesel,A,393.0,Centre,False,0.0,346.54
102,1.0,6.666666666666666,14,61,50.0,B12,Diesel,A,393.0,Centre,False,0.0,291.51
103,1.0,6.944444444444445,21,55,68.0,B12,Regular,B,393.0,Centre,True,67.25,149.45
104,1.0,7.777777777777778,6,37,50.0,B12,Diesel,B,393.0,Centre,False,0.0,613.77
104,1.0,7.777777777777778,6,37,50.0,B12,Diesel,B,393.0,Centre,False,0.0,632.19
104,1.0,7.777777777777778,6,37,50.0,B12,Diesel,B,393.0,Centre,False,0.0,635.35
105,1.0,6.388888888888889,7,68,95.0,B12,Diesel,A,393.0,Centre,True,674.34,765.44
105,1.0,6.388888888888889,7,68,95.0,B12,Diesel,A,393.0,Centre,True,530.115,1018.03
106,1.0,5.555555555555555,24,61,95.0,B12,Regular,A,393.0,Centre,False,0.0,222.44
107,1.0,6.527777777777778,11,47,50.0,B12,Diesel,B,393.0,Centre,False,0.0,293.46
107,1.0,6.527777777777778,11,47,50.0,B12,Diesel,B,393.0,Centre,False,0.0,297.87
107,1.0,6.527777777777778,11,47,50.0,B12,Diesel,B,393.0,Centre,False,0.0,300.87
108,1.0,6.527777777777778,11,51,50.0,B12,Diesel,B,393.0,Centre,False,0.0,471.31
109,1.0,5.833333333333333,5,69,113.0,B12,Regular,A,393.0,Centre,False,0.0,239.9
110,1.0,6.388888888888889,13,68,59.0,B12,Diesel,A,393.0,Centre,True,305.46,289.87
110,1.0,6.388888888888889,13,68,59.0,B12,Diesel,A,393.0,Centre,False,0.0,297.12
111,1.0,7.666666666666666,16,69,59.0,B12,Diesel,A,393.0,Centre,True,1190.78,304.18
111,1.0,7.666666666666666,16,69,59.0,B12,Diesel,A,393.0,Centre,False,0.0,410.64
112,1.0,5.138888888888889,32,59,77.0,B12,Regular,A,393.0,Centre,False,0.0,219.22
112,1.0,5.138888888888889,32,59,77.0,B12,Regular,A,393.0,Centre,False,0.0,214.42
112,1.0,5.138888888888889,32,59,77.0,B12,Regular,A,393.0,Centre,False,0.0,221.92
113,1.0,5.638888888888889,29,54,77.0,B12,Regular,A,393.0,Centre,False,0.0,219.87
113,1.0,5.638888888888889,29,54,77.0,B12,Regular,A,393.0,Centre,False,0.0,226.46
114,1.0,7.083333333333334,12,71,86.0,B12,Diesel,B,393.0,Centre,True,62.70666666666667,398.7
114,1.0,7.083333333333334,12,71,86.0,B12,Diesel,B,393.0,Centre,False,0.0,408.66
